rk,player,nation,pos,squad,age,born_year,mp,starts,min,nineties,gls,ast,g_a,g_minus_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_a_per90,g_minus_pk_per90,g_a_minus_pk_per90,g_minus_pk_per90_calc,pk_per90,pkatt_per90,crdy_per90,crdr_per90
11,Stephen Afrifa,ca CAN,MF,Sporting KC,25.0,2001.0,15,1,326,3.6,1,1,2,1,0,0,0,0,0.28,0.28,0.55,0.28,0.55,0.28,0.0,0.0,0.0,0.0
12,Kwaku Agyabeng,gh GHA,MFDF,Sporting KC,20.0,2006.0,12,4,459,5.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
13,Morrison Agyemang,gh GHA,DF,Charlotte,21.0,2004.0,17,16,1485,16.5,2,0,2,2,0,0,2,0,0.12,0.0,0.12,0.12,0.12,0.12,0.0,0.0,0.12,0.0
14,Jorge Alastuey,es ESP,MF,Austin FC,23.0,2003.0,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Noah Allen,gr GRE,DFMF,Inter Miami,22.0,2004.0,16,11,902,10.0,1,1,2,1,0,0,2,0,0.1,0.1,0.2,0.1,0.2,0.1,0.0,0.0,0.2,0.0
16,Tadeo Allende,ar ARG,MFFW,Inter Miami,27.0,1999.0,9,4,434,4.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0
17,Miguel Almirón,py PAR,MFFW,Atlanta Utd,32.0,1994.0,13,12,1096,12.2,3,3,6,3,0,0,0,0,0.25,0.25,0.49,0.25,0.49,0.25,0.0,0.0,0.0,0.0
18,Rodolfo Aloko,bj BEN,MF,Charlotte,19.0,2006.0,9,3,309,3.4,0,1,1,0,0,0,0,0,0.0,0.29,0.29,0.0,0.29,0.0,0.0,0.0,0.0,0.0
19,Júnior Alonso,py PAR,DF,Atlanta Utd,33.0,1993.0,4,4,359,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Alejandro Alvarado Jr.,us USA,MF,San Diego FC,23.0,2003.0,10,3,279,3.1,1,0,1,1,0,0,1,0,0.32,0.0,0.32,0.32,0.32,0.32,0.0,0.0,0.32,0.0
21,Steven Alzate,co COL,MF,Atlanta Utd,27.0,1998.0,8,4,408,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0
22,Pedro Amador,pt POR,DF,Atlanta Utd,27.0,1998.0,7,2,243,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Frankie Amaya,us USA,MF,CF Montréal,25.0,2000.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
