,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
33,Max Arfsten,us USA,MF,Columbus Crew,25-121,2001,17,17,1462,16.2,4,4,8,4,0,0,3,0,0.25,0.25,0.49,0.25,0.49,Matches,668f881e
34,Juan Arias,co COL,DF,Real Salt Lake,22-222,2004,2,1,107,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a36efa99
35,Emilio Aristizábal,co COL,FWMF,Toronto FC,21-013,2005,16,7,549,6.1,3,0,3,3,0,0,1,0,0.49,0.00,0.49,0.49,0.49,Matches,268dec15
36,Daniel Armando Ríos,mx MEX,FW,CF Montréal,31-177,1995,16,4,528,5.9,2,0,2,1,1,1,3,0,0.34,0.00,0.34,0.17,0.17,Matches,078b2c07
37,Paul Arriola,us USA,MFDF,Seattle Sounders,31-194,1995,12,5,354,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1bb2acce
38,Artur,br BRA,MF,Houston,30-160,1996,12,9,814,9.0,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,ea6803c7
39,Joshua Atencio,us USA,MF,Colorado Rapids,24-199,2002,16,12,1069,11.9,1,0,1,1,0,0,8,0,0.08,0.00,0.08,0.08,0.08,Matches,1f084637
40,Eduard Atuesta,co COL,MF,Orlando City,29-061,1997,13,10,814,9.0,0,3,3,0,0,0,5,0,0.00,0.33,0.33,0.00,0.33,Matches,60990b81
41,Julián Aude,ar ARG,DF,LA Galaxy,23-147,2003,11,9,654,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4223d7bb
42,Palmer Ault,us USA,FW,St. Louis City,22-121,2004,5,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,69606ffc
