,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
141,Tomás Chancalay,ar ARG,FWMF,Minnesota Utd,27-229,1999,19,16,1370,15.2,2,3,5,2,0,0,3,0,0.13,0.20,0.33,0.13,0.33,Matches,317be364
142,Kieran Chandler,us USA,DF,Minnesota Utd,21-070,2005,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3864b63d
143,Diego Chará,co COL,MF,Portland Timbers,40-135,1986,15,9,903,10.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,6260cc9d
144,Gabriel Chaves,br BRA,MFFW,LA Galaxy,25-188,2001,14,14,1211,13.5,5,4,9,5,0,0,5,1,0.37,0.30,0.67,0.37,0.67,Matches,c37ce1ca
145,Justin Che,us USA,DF,RB New York,22-273,2003,12,10,914,10.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,3c569f37
146,Yevhen Cheberko,ua UKR,DFMF,Columbus Crew,28-207,1998,3,0,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02fbc447
147,Yevhen Cheberko,ua UKR,DF,LAFC,28-207,1998,5,5,434,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02fbc447
148,Andrei Chirilă,us USA,DF,FC Cincinnati,18-003,2008,6,4,419,4.7,1,0,1,1,0,0,1,0,0.21,0.00,0.21,0.21,0.21,Matches,c5c6e70e
149,Micah Chisholm,ca CAN,DF,Toronto FC,21-272,2004,2,0,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6873413f
150,Mathieu Choinière,ca CAN,MF,LAFC,27-192,1999,20,12,1106,12.3,2,3,5,2,0,0,1,0,0.16,0.24,0.41,0.16,0.41,Matches,017459bb
151,Richard Chukwu,ca CAN,DF,Toronto FC,18-174,2008,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ddfe1b9c
152,José Cifuentes,ec ECU,MF,Toronto FC,27-159,1999,10,10,792,8.8,1,1,2,1,0,0,3,0,0.11,0.11,0.23,0.11,0.23,Matches,8c8c07a7
153,Markus Cimermancic,ca CAN,MF,Toronto FC,21-321,2004,3,3,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b781b6bf
154,Caden Clark,us USA,MF,D.C. United,23-083,2003,7,0,89,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6e327d0d
155,Will Cleary,us USA,DF,Charlotte,23-182,2003,5,2,234,2.6,0,1,1,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,Matches,488c230c
156,Stefan Cleveland,us USA,GK,Sporting KC,32-085,1994,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,873fdbdf
157,Noah Cobb,us USA,DF,Colorado Rapids,21-029,2005,9,2,339,3.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4c46e404
158,Alonso Coello,es ESP,MF,Toronto FC,26-310,1999,19,14,1283,14.3,0,3,3,0,0,0,3,0,0.00,0.21,0.21,0.00,0.21,Matches,00eb5be4
159,Michael Collodi,us USA,GK,FC Dallas,25-085,2001,13,13,1170,13.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e5857da0
160,Theo Corbeanu,ca CAN,MFFW,Toronto FC,24-093,2002,6,4,361,4.0,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,25b82f9a
161,Matthew Corcoran,us USA,MF,Nashville SC,20-182,2006,16,13,1162,12.9,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,0acbd246
162,Sergio Córdova,ve VEN,FWMF,St. Louis City,29-009,1997,10,4,495,5.5,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches,229cd98a
163,David Costa,pt POR,MF,Portland Timbers,25-225,2001,16,16,1327,14.7,1,6,7,1,0,0,1,0,0.07,0.41,0.47,0.07,0.47,Matches,59948ef7
164,Vitor Costa,br BRA,DF,SJ Earthquakes,32-048,1994,4,1,150,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e28ae695
165,Cade Cowell,us USA,FWMF,RB New York,22-308,2003,17,17,1183,13.1,2,5,7,2,0,0,1,0,0.15,0.38,0.53,0.15,0.53,Matches,f8e95f87
166,Brandan Craig,us USA,DF,CF Montréal,22-133,2004,7,2,305,3.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4d0f7cb3
167,Maxime Crépeau,ca CAN,GK,Orlando City,32-099,1994,18,18,1545,17.2,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,ea42e480
168,Andrés Cubas,py PAR,MF,Vancouver,30-088,1996,15,14,1194,13.3,0,1,1,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matches,9b40a6ea
169,Mauricio Cuevas,us USA,DFMF,LA Galaxy,23-189,2003,12,7,723,8.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,cf4f1eb9
170,Christopher Cupps,us USA,DF,Chicago Fire,18-084,2008,2,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad2bce19
171,Hugo Cuypers,be BEL,FW,Chicago Fire,29-192,1997,11,11,989,11.0,13,0,13,11,2,4,1,0,1.18,0.00,1.18,1.00,1.00,Matches,9f417f8c
172,Jayden Da,us USA,FW,NE Revolution,24-132,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1fd1c027
173,Bruno Damiani,uy URU,FW,Philadelphia,24-122,2002,19,17,1421,15.8,3,1,4,3,0,0,3,0,0.19,0.06,0.25,0.19,0.25,Matches,47546af8
174,Dagur Dan Þórhallsson,is ISL,DF,San Diego FC,26-108,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c350e7d5
175,Dagur Dan Þórhallsson,is ISL,MFDF,CF Montréal,26-108,2000,10,7,606,6.7,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,c350e7d5
176,Daniel,br BRA,GK,FC Dallas,32-104,1994,2,2,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,636fc976
177,Daniel,br BRA,GK,SJ Earthquakes,32-104,1994,15,14,1327,14.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,636fc976
178,Jesús Daniel Bueno,ve VEN,MF,Philadelphia,27-125,1999,13,6,549,6.1,1,0,1,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches,b5687b08
179,Juan David Mosquera,co COL,DF,Portland Timbers,23-347,2002,3,1,70,0.8,1,1,2,1,0,0,0,0,1.29,1.29,2.57,1.29,2.57,Matches,bb18b3b6
180,Jake Davis,us USA,DFMF,Sporting KC,24-227,2002,18,16,1410,15.7,0,2,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches,79d3a503
181,Rodrigo De Paul,ar ARG,MF,Inter Miami,32-086,1994,15,15,1350,15.0,4,4,8,4,0,0,4,0,0.27,0.27,0.53,0.27,0.53,Matches,162efffd
182,Osaze De Rosario,gy GUY,FW,Seattle Sounders,25-030,2001,16,6,584,6.5,2,0,2,2,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches,1b09202f
183,Jonathan Dean,us USA,DF,Chicago Fire,29-095,1997,14,10,933,10.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,ed8c35d2
184,Louicius Deedson,ht HAI,MF,FC Dallas,25-188,2001,7,3,254,2.8,1,0,1,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches,f7059bb1
185,Marky Delgado,us USA,MF,LAFC,31-094,1995,19,15,1360,15.1,2,2,4,2,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches,7f6a25b7
186,Patrickson Delgado,ec ECU,MFFW,FC Dallas,22-305,2003,15,9,676,7.5,3,0,3,3,0,0,3,0,0.40,0.00,0.40,0.40,0.40,Matches,79d49f47
187,Lovens Delinois,ht HAI,FW,Inter Miami,21-317,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fae27b0f
188,Kévin Denkey,tg TOG,FW,FC Cincinnati,25-261,2000,18,17,1503,16.7,11,2,13,9,2,2,4,1,0.66,0.12,0.78,0.54,0.66,Matches,0d3585b5
189,Mikkel Desler,dk DEN,DF,Austin FC,31-180,1995,9,6,550,6.1,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,1d5c96f8
190,Djibril Diani,fr FRA,MF,Charlotte,28-188,1998,17,9,796,8.8,0,1,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches,4d095331
191,Jefferson Díaz,co COL,DF,Minnesota Utd,25-256,2000,17,16,1382,15.4,0,1,1,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Matches,ec27d954
192,Mamadou Dieng,sn SEN,FW,Minnesota Utd,22-195,2004,17,5,479,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,31429cca
193,Daryl Dike,us USA,FW,Orlando City,26-076,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d4cfc93c
194,Griffin Dillon,us USA,MF,Real Salt Lake,23-115,2003,10,4,378,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4d095ea6
195,Puso Dithejane,za RSA,MF,Chicago Fire,22-068,2004,12,1,268,3.0,1,0,1,1,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches,b055c837
196,Innocent Dje,ci CIV,MF,Chicago Fire,23-105,2003,17,14,1199,13.3,1,0,1,1,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches,6b561720
197,Nikola Djordjevic,us USA,DF,Vancouver,23-277,2002,5,0,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,052dcd03
198,Ronald Donkor,gh GHA,MF,RB New York,21-271,2004,18,18,1540,17.1,1,4,5,1,0,0,5,0,0.06,0.23,0.29,0.06,0.29,Matches,82a10738
199,Shane Donovan,us USA,MF,Sporting KC,19-224,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2446b380
200,Niklas Dorsch,de GER,MF,Toronto FC,28-215,1998,2,2,160,1.8,1,0,1,1,0,0,1,0,0.56,0.00,0.56,0.56,0.56,Matches,7f73bdf4
201,Griffin Dorsey,us USA,DFMF,Orlando City,27-166,1999,16,15,1292,14.4,3,1,4,3,0,0,1,0,0.21,0.07,0.28,0.21,0.28,Matches,c182ca04
202,C.J. dos Santos,cv CPV,GK,San Diego FC,25-359,2000,6,6,539,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e329eaa6
203,Matthew Dos Santos,us USA,DF,RB New York,18-074,2008,18,17,1210,13.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,84dd18f1
204,Hassani Dotson,us USA,MF,Seattle Sounders,29-012,1997,13,10,825,9.2,1,0,1,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches,8f2af1ed
205,Andre Dozzell,eng ENG,MF,D.C. United,27-108,1999,4,4,357,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8f660142
206,Anders Dreyer,dk DEN,FWMF,San Diego FC,28-108,1998,19,18,1643,18.3,8,7,15,4,4,4,3,1,0.44,0.38,0.82,0.22,0.60,Matches,c6486b01
207,Manu Duah,gh GHA,DF,San Diego FC,21-074,2005,18,18,1559,17.3,0,1,1,0,0,0,1,1,0.00,0.06,0.06,0.00,0.06,Matches,037bebf4
208,Nicolás Dubersarsky,ar ARG,MF,Austin FC,21-240,2004,11,7,659,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,bed3eed1
209,Morris Duggan,de GER,DF,Minnesota Utd,25-298,2000,19,19,1710,19.0,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches,04391c12
210,Bryce Duke,us USA,DF,San Diego FC,25-171,2001,4,1,78,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,59557625
211,Kyle Duncan,us USA,MFDF,Minnesota Utd,29-010,1997,16,14,1095,12.2,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,575e6cb1
212,Chris Durkin,us USA,MF,St. Louis City,26-191,2000,17,17,1447,16.1,2,0,2,2,0,0,9,1,0.12,0.00,0.12,0.12,0.12,Matches,0ffd4373
213,Jeremy Ebobisse,us USA,FW,LAFC,29-185,1997,10,1,210,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5fa7b2ec
214,Ender Echenique,ve VEN,MF,FC Cincinnati,22-138,2004,17,12,1078,12.0,1,5,6,1,0,0,1,0,0.08,0.42,0.50,0.08,0.50,Matches,837bd7eb
215,Daniel Edelman,us USA,MF,St. Louis City,23-112,2003,18,17,1516,16.8,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Matches,a8de0bd5
216,Earl Edwards Jr.,us USA,GK,SJ Earthquakes,34-206,1992,1,1,23,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,10f6f942
217,Matthew Edwards,us USA,DFMF,Atlanta Utd,23-182,2003,11,6,541,6.0,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches,8510e2e6
218,Raheem Edwards,ca CAN,DFMF,Toronto FC,31-034,1995,12,9,737,8.2,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,b828d56a
219,Wilson Eisner,us USA,DF,San Diego FC,24-107,2002,4,0,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6e2a075
220,Troy Elgersma,,MF,LA Galaxy,,,4,0,45,0.5,1,0,1,1,0,0,0,0,2.00,0.00,2.00,2.00,2.00,Matches,3b951f08
221,Jack Elliott,eng ENG,DF,Chicago Fire,30-358,1995,16,16,1385,15.4,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,041deebd
222,Justin Ellis,us USA,FW,Orlando City,19-096,2007,12,11,847,9.4,1,5,6,1,0,0,0,0,0.11,0.53,0.64,0.11,0.64,Matches,fee55588
223,Rayan Elloumi,tn TUN,FW,Vancouver,18-335,2007,13,0,183,2.0,1,0,1,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,Matches,7cd21bce
224,Lukas Engel,dk DEN,DF,Real Salt Lake,27-247,1998,11,11,912,10.1,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches,aedaf328
225,Lawrence Ennali,de GER,DFMF,Houston,24-164,2002,19,17,1521,16.9,3,2,5,3,0,0,4,0,0.18,0.12,0.30,0.18,0.30,Matches,f77a051b
226,Olger Escobar,gt GUA,MFFW,CF Montréal,19-341,2006,17,4,350,3.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d515b0f9
227,Cristian Espinoza,ar ARG,MFFW,Nashville SC,31-137,1995,15,12,1059,11.8,3,7,10,3,0,0,1,0,0.25,0.59,0.85,0.25,0.85,Matches,9c794a80
228,Derrick Etienne,ht HAI,MFFW,Toronto FC,29-266,1996,14,8,791,8.8,2,0,2,2,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches,59059f1e
229,Stephen Eustáquio,ca CAN,MF,LAFC,29-240,1996,10,7,601,6.7,1,1,2,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,Matches,577efaec
230,Evander,br BRA,MFFW,FC Cincinnati,28-070,1998,18,17,1469,16.3,11,10,21,8,3,3,3,0,0.67,0.61,1.29,0.49,1.10,Matches,4352d221
231,Matthew Evans,gt GUA,MF,LAFC,20-085,2006,1,1,55,0.6,0,1,1,0,0,0,1,0,0.00,1.64,1.64,0.00,1.64,Matches,7fb0f29f
232,Diego Fagúndez,uy URU,MF,NE Revolution,31-185,1995,11,1,210,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe81682e
233,Maximiliano Falcón,uy URU,DF,Inter Miami,29-109,1997,10,9,868,9.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8470a4c2
234,Fallou Fall,sn SEN,DF,St. Louis City,22-125,2004,5,2,224,2.5,1,0,1,1,0,0,1,0,0.40,0.00,0.40,0.40,0.40,Matches,2c8a91b9
235,Mamadou Fall,sn SEN,DF,St. Louis City,23-270,2002,3,0,35,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,805a2a11
236,Arnau Farnós,es ESP,MF,NYCFC,23-212,2003,8,2,159,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6ef46d30
237,Andrew Farrell,us USA,DF,NE Revolution,34-138,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,71eda165
238,Logan Farrington,us USA,FW,FC Dallas,24-247,2001,18,11,939,10.4,6,2,8,5,1,1,3,0,0.58,0.19,0.77,0.48,0.67,Matches,640b5773
239,Mohamed Farsi,dz ALG,DFMF,Columbus Crew,26-245,1999,9,5,478,5.3,0,2,2,0,0,0,0,0,0.00,0.38,0.38,0.00,0.38,Matches,81039302
240,Ilay Feingold,il ISR,DF,NE Revolution,21-360,2004,9,8,666,7.4,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,fe91e603
241,Nick Fernandez,us USA,MF,SJ Earthquakes,24-239,2001,14,6,479,5.3,1,2,3,1,0,0,0,0,0.19,0.38,0.56,0.19,0.56,Matches,43801098
242,Nicolás Fernández,ar ARG,FWMF,NYCFC,26-219,2000,18,18,1588,17.6,13,3,16,9,4,4,6,0,0.74,0.17,0.91,0.51,0.68,Matches,3409de86
243,Omir Fernandez,us USA,MF,Portland Timbers,27-191,1999,2,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,622986f0
244,Duran Ferree,us USA,GK,San Diego FC,19-324,2006,13,12,1081,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56b6d34f
245,Jesús Ferreira,us USA,MF,Seattle Sounders,25-237,2000,18,15,1170,13.0,2,3,5,2,0,1,1,0,0.15,0.23,0.38,0.15,0.38,Matches,f61246d8
246,Dominik Fitz,at AUT,FWMF,Minnesota Utd,27-063,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ea19e14d
247,Gilberto Flores,py PAR,DF,FC Cincinnati,23-139,2003,7,4,303,3.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,55d8f630
248,Max Floriani,us USA,DF,SJ Earthquakes,23-193,2003,2,2,159,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b1c742df
249,CJ Fodrey,us USA,FW,Austin FC,22-189,2004,13,2,247,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ee4a0679
250,Mamadou Fofana,ml MLI,DF,NE Revolution,28-209,1998,18,18,1620,18.0,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,4c4ffacc
251,Emil Forsberg,se SWE,MF,RB New York,34-299,1991,18,17,1379,15.3,3,4,7,3,0,0,0,0,0.20,0.26,0.46,0.20,0.46,Matches,9a2e0ccc
252,Ajani Fortune,tt TRI,MF,Atlanta Utd,23-231,2002,10,5,458,5.1,2,0,2,2,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,6c3c3c3c
253,Jimer Fory,co COL,DF,Portland Timbers,24-086,2002,18,18,1517,16.9,0,1,1,0,0,0,3,1,0.00,0.06,0.06,0.00,0.06,Matches,faf827ca
254,Kobe Franklin,ca CAN,DFMF,Toronto FC,23-100,2003,15,12,1010,11.2,2,2,4,2,0,0,0,0,0.18,0.18,0.36,0.18,0.36,Matches,407325c4
255,Ian Fray,jm JAM,DF,Inter Miami,23-352,2002,14,12,911,10.1,1,1,2,1,0,0,5,0,0.10,0.10,0.20,0.10,0.20,Matches,f09cbe39
256,Wayne Frederick,tt TRI,MF,Colorado Rapids,22-066,2004,16,12,1067,11.9,2,2,4,2,0,0,1,1,0.17,0.17,0.34,0.17,0.34,Matches,9f5400d8
257,Matt Freese,us USA,GK,NYCFC,27-350,1998,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2f49476c
258,Malcolm Fry,us USA,FW,NE Revolution,21-095,2005,4,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,730afdd6
259,Kyogo Furuhashi,jp JPN,FW,LA Galaxy,31-210,1995,2,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fd4d5f81
260,Charlie Gaffney,us USA,DF,Seattle Sounders,23-020,2003,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a9a6ab9e
261,Matías Galarza,py PAR,MFFW,Atlanta Utd,24-188,2002,10,8,663,7.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8e97a57b
262,Jon Gallagher,ie IRL,DFMF,Austin FC,30-176,1996,19,17,1494,16.6,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,9d5afdfb
263,Carlos Garcés,co COL,DF,LA Galaxy,24-311,2001,13,9,790,8.8,0,1,1,0,0,0,5,3,0.00,0.11,0.11,0.00,0.11,Matches,d8eb21b7
264,Manu García,es ESP,MFFW,Sporting KC,28-228,1998,18,14,1250,13.9,2,4,6,2,0,0,3,0,0.14,0.29,0.43,0.14,0.43,Matches,6ed1a2a2
265,Ryan Gauld,sct SCO,MF,Vancouver,30-245,1995,4,2,211,2.3,2,0,2,2,0,0,1,0,0.85,0.00,0.85,0.85,0.85,Matches,862e93c2
266,Luka Gavran,ca CAN,GK,Toronto FC,26-101,2000,19,19,1710,19.0,1,0,1,1,0,0,0,0,0.05,0.00,0.05,0.05,0.05,Matches,76c220e0
267,Dániel Gazdag,hu HUN,FWMF,Columbus Crew,30-169,1996,15,10,782,8.7,3,0,3,1,2,2,0,0,0.35,0.00,0.35,0.12,0.12,Matches,527d0e31
268,Owen Géne,fr FRA,MF,Minnesota Utd,23-152,2003,18,12,1041,11.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bfff2337
269,Joran Gerbet,fr FRA,MF,Orlando City,25-049,2001,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,581597fc
270,Mihail Gherasimencov,md MDA,DF,Vancouver,21-146,2005,7,2,297,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca4929d0
271,Laurtaro Giaccone,ar ARG,MF,Columbus Crew,25-198,2001,2,1,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a9ff6cf
272,Samuel Gidi,sk SVK,MFDF,FC Cincinnati,22-125,2004,18,16,1380,15.3,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,be3fb78d
273,Carles Gil,es ESP,MF,NE Revolution,33-269,1992,19,19,1701,18.9,7,3,10,3,4,4,2,0,0.37,0.16,0.53,0.16,0.32,Matches,11c30a46
274,Adrian Gill,us USA,MF,Atlanta Utd,20-227,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,96a2442b
275,Thomas Gillier,cl CHI,GK,CF Montréal,22-082,2004,16,16,1440,16.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,996c61e5
276,Jackson Gilman,us USA,DF,Toronto FC,22-111,2004,7,7,625,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e060e3c8
277,Justen Glad,us USA,DF,Real Salt Lake,29-171,1997,12,12,1050,11.7,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches,5b768b0f
278,Jakob Glesnes,no NOR,DF,LA Galaxy,32-146,1994,13,13,1125,12.5,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,ac65aef3
279,Aníbal Godoy,pa PAN,MF,San Diego FC,36-189,1990,18,12,981,10.9,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,2d496ca3
280,André Gomes,pt POR,MF,Columbus Crew,33-019,1993,12,10,856,9.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1961b2aa
281,Yeimar Gómez Andrade,co COL,DF,Seattle Sounders,34-049,1992,3,3,169,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e43c8d72
282,Ignacio Gómez,ar ARG,MF,Orlando City,20-136,2006,2,0,14,0.2,1,0,1,1,0,0,1,0,6.43,0.00,6.43,6.43,6.43,Matches,c7768b07
283,Sebastian Gomez,us USA,MF,Seattle Sounders,20-089,2006,5,0,129,1.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,fb5ae5a2
284,Nicksoen Gomis,fr FRA,DF,Toronto FC,24-156,2002,2,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3c2d167e
285,Jonathan González,mx MEX,MF,SJ Earthquakes,27-127,1999,10,3,195,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a8785279
286,Mauricio Gonzalez,,MF,Minnesota Utd,,,9,0,123,1.4,1,0,1,1,0,0,0,0,0.73,0.00,0.73,0.73,0.73,Matches,ab64aa8c
287,Archie Goodwin,au AUS,FW,Charlotte,21-284,2004,17,2,292,3.2,3,0,3,2,1,1,1,0,0.92,0.00,0.92,0.62,0.62,Matches,569362ab
288,Zavier Gozo,us USA,MFFW,Real Salt Lake,19-149,2007,16,16,1415,15.7,6,4,10,6,0,0,4,0,0.38,0.25,0.64,0.38,0.64,Matches,bc2eb719
289,Owen Graham Roache,ca CAN,FW,CF Montréal,18-188,2008,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c02bea6
290,Tayvon Gray,jm JAM,DF,NYCFC,23-364,2002,18,18,1573,17.5,1,1,2,1,0,0,6,1,0.06,0.06,0.11,0.06,0.11,Matches,c839e1b2
291,Julian Gressel,us USA,DFMF,Minnesota Utd,32-245,1993,4,0,58,0.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,acd47bc0
292,Antoine Griezmann,fr FRA,MFFW,Orlando City,35-150,1991,4,4,360,4.0,1,1,2,1,0,0,0,0,0.25,0.25,0.50,0.25,0.50,Matches,df69b544
